candidate_rank,pkg_name,download_count
694,express,25810
695,perl-soap-lite,25757
696,perl-mime-lite,25679
697,bioconductor-hdo.db,25657
698,perl-task-weaken,25648
699,perl-io-sessiondata,25597
700,perl-convert-binhex,25495
701,bioconductor-rgraphviz,25309
702,qiime,25175
703,bioconductor-sva,25046
704,bioconductor-rprotobuflib,24875
705,perl-html-template,24861
706,perl-data-optlist,24845
707,obonet,24795
708,bioconductor-aroma.light,24621
709,ucsc-bigwigtowig,24436
710,perl-regexp-common,24428
711,pyprophet,24395
712,moments,24373
713,perl-xml-libxslt,24344
714,homer,24325
715,pyrle,24240
716,perl-convert-binary-c,24231
717,perl-template-toolkit,24212
718,bioconductor-edaseq,24154
719,perl-html-tidy,24067
720,perl-math-random,24055
721,perl-tie-ixhash,23906
722,harmonypy,23895
723,perl-ipc-sharelite,23803
724,delly,23759
725,perl-lib,23712
726,perl-type-tiny,23657
727,cmappy,23605
728,perl-unicode-map,23590
729,perl-aceperl,23563
730,perl-email-date-format,23536
731,perl-graphviz,23523
732,perl-error,23503
733,perl-xml-twig,23484
734,perl-ole-storage_lite,23434
735,tidyp,23398
736,oxbow,23396
737,perl-html-formatter,23332
738,perl-xml-writer,23274
739,perl-image-info,23257
740,perl-test,23246
741,abundancebin,23243
742,perl-test-leaktrace,23179
743,perl-font-afm,23160
744,perl-bio-phylo,23153
745,perl-html-entities-numbered,23147
746,snakemake-logger-plugin-pypsa,23147
747,perl-spreadsheet-parseexcel,23141
748,perl-html-tableextract,23106
749,perl-appconfig,23075
750,perl-math-derivative,23046
751,perl-array-compare,23022
752,perl-spreadsheet-writeexcel,23020
753,perl-image-size,23009
754,perl-svg-graph,22969
755,melt,22962
756,perl-postscript,22930
757,perl-html-element-extended,22923
758,perl-math-spline,22921
759,perl-mldbm,22901
760,perl-html-treebuilder-xpath,22899
761,perl-crypt-rc4,22875
762,perl-xml-sax-writer,22851
763,perl-data-stag,22832
764,perl-jcode,22803
765,perl-algorithm-munkres,22733
766,metabat2,22714
767,savvy,22706
768,staramr,22584
769,perl-set-scalar,22569
770,nwalign3,22558
771,bioconductor-xcms,22552
772,perl-xml-xpath,22532
773,perl-io-stringy,22501
774,nf-core,22489
775,gap2seq,22449
776,perl-autoloader,22437
777,perl-dynaloader,22420
778,perl-xml-filter-buffertext,22419
779,fastme,22270
780,perl-package-stash-xs,22257
781,ont-fast5-api,22187
782,matchms,22121
783,phanotate,22052
784,checkm-genome,22033
785,dysgu,21833
786,dnachisel,21790
787,perl-test-nowarnings,21732
788,perl-gdgraph,21726
789,hifiasm,21694
790,phylophlan,21589
791,miniasm,21485
792,perl-number-format,21452
793,perl-readonly,21431
794,bioconductor-rsubread,21389
795,perl-gdtextutil,21378
796,bioconductor-metapod,21281
797,pyjess,21260
798,epimetheus-py,21244
799,perl-test-warnings,21213
800,perl-file-sharedir-install,21101
801,perl-math-round,21094
802,bioconductor-pwalign,21013
803,ncbi-datasets-pyclient,20969
804,macs3,20936
805,perl-text-parsewords,20929
806,svdb,20927
807,bioconductor-scran,20910
808,ucsc-bigwigtobedgraph,20815
809,bakta,20788
810,mummer4,20770
811,seqlib,20650
812,bioconda-utils,20582
813,perl-perl-ostype,20526
814,crossmap,20464
815,fwdpy11,20378
816,cnvkit,20365
817,bioconductor-tfbstools,20224
818,metaphlan2,20188
819,geofetch,20160
820,cafe,20139
821,htsbox,20135
822,perl-text-csv,20085
823,ncbi-ngs-sdk,19958
824,perl-pod-usage,19938
825,agat,19935
826,bioconductor-impute,19770
827,ucsc-gtftogenepred,19620
828,r-biodb,19491
829,perl-sys-info-driver-linux,19431
830,mageck,19407
831,clair3,19378
832,rmats,19325
833,bioconductor-txdbmaker,19312
834,bioconductor-bsgenome.hsapiens.ucsc.hg38,19298
835,tassel,19158
836,java-jdk,19152
837,bioconductor-cner,19016
838,liftover,19005
839,bioconductor-cytolib,18964
840,perl-digest-sha1,18841
841,nf-test,18836
842,pilon,18771
843,btllib,18706
844,aster,18664
845,acedrg,18570
846,perl-text-template-simple,18553
847,perl-sys-info,18481
848,tiddit,18479
849,perl-sys-info-base,18470
850,bcbio-nextgen,18410
851,perl-date-format,18371
852,lofreq,18301
853,rust-bio-tools,18274
854,needletail,18201
855,picard-slim,18173
856,treekin,18053
857,perl-cache-cache,17981
858,skder,17903
859,panphlan,17654
860,chopper,17500
861,perl-test-cpan-meta,17412
862,yaggo,17399
863,perl-file-sharedir,17363
864,ruffus,17334
865,tobias,17289
866,nanomath,17280
867,gnuplot,17251
868,bioconductor-gseabase,17249
869,pyteomics,17243
870,grep,17166
871,bioconductor-biovizbase,17155
872,perl-class-methodmaker,17076
873,genbank,17002
874,t_coffee,16890
875,taxonomy,16853
876,perl-log-log4perl,16845
877,usalign,16844
878,popt,16726
879,snippy,16709
880,tbl2asn,16667
881,perl-term-progressbar,16584
882,verifybamid2,16543
883,igv,16538
884,ncbi-fcs-gx,16488
885,gappa,16485
886,clark,16448
887,piler-cr,16448
888,poppunk,16422
889,usher,16421
890,pymummer,16411
891,art_modern,16378
892,bioconductor-dexseq,16315
893,snp-sites,16311
894,pyfastaq,16164
895,cmseq,16163
896,entrezpy,16159
897,epa-ng,16157
898,perl-module-build,16134
899,ganon,16098
900,fastq-screen,16073
901,starcode,16043
902,fwdpp,15994
903,strobealign,15973
904,ivar,15929
905,perl-file-share,15920
906,r-snow,15880
907,perl-set-object,15843
908,bismark,15841
909,pybwa,15835
910,samclip,15805
911,perl-vcftools-vcf,15781
912,bioconductor-interactivedisplaybase,15672
913,mzml2isa,15668
914,ucsc-genepredtobed,15594
915,csvtk,15477
916,bioconductor-org.rn.eg.db,15475
917,filtlong,15436
918,r-signac,15365
919,concoct,15293
920,centrosome,15266
921,carna,15252
922,pybedlite,15250
923,fraggenescan,15172
924,poretools,15131
925,simpleaf,15049
926,mumemto,14973
927,perl-json-pp,14928
928,perl-safe,14873
929,sample-sheet,14842
930,jalview,14821
931,eden,14742
932,r-probmetab,14724
933,bioconductor-tximeta,14703
934,refgenconf,14688
935,pbmm2,14632
936,ltr_retriever,14602
937,gimmemotifs,14590
938,gb-io,14546
939,pymzml,14531
940,genomethreader,14521
941,perl-heap,14475
942,perl-text-balanced,14466
943,idba,14459
944,exonerate,14438
945,soda-gallery,14398
946,pango-designation,14375
947,dbcan,14347
948,scoring-matrices,14333
949,perl-statistics-r,14326
950,perl-file-util,14323
951,ntsynt,14314
952,bioconductor-rbgl,14273
953,bioconductor-goseq,14255
954,parascopy,14246
955,bioconductor-genelendatabase,14228
956,bioconductor-affyio,14204
957,kcounter,14196
958,porechop,14176
959,ipyrad,14091
960,libdb,13989
961,moods,13964
962,bioconductor-txdb.scerevisiae.ucsc.saccer3.sgdgene,13941
963,ont-modkit,13910
964,pyrodigal-gv,13901
965,superintervals,13783
966,repeatmodeler,13782
967,refgenie,13761
968,seqfu,13687
969,dnaapler,13673
970,bioconductor-glmgampoi,13654
971,transtermhp,13619
972,snakedeploy,13591
973,csubst,13572
974,velvet,13543
975,emu-pca,13458
976,gubbins,13412
977,phispy,13408
978,sistr_cmd,13388
979,hatchet,13298
980,perl-vars,13259
981,perl-test-more,13215
982,scanpy,13205
983,genomad,13172
984,bioconductor-ctc,13132
985,deacon,13131
986,r-wgcna,13104
987,maker,13103
988,gridss,13096
989,wfa2-lib,13075
990,wise2,13075
991,hicexplorer,13023
992,bioconductor-gsva,13022
993,proteinortho,12975
994,perl-devel-size,12965
995,phyloacc,12963
996,gimmemotifs-minimal,12961
997,gangstr,12951
998,bioconductor-affy,12945
999,perl-cpan-meta,12941
1000,ms2deepscore,12930
